title,category,source_page,original_url,canonical_url,filename,declared_type,mime,bytes,sha256,http,is_real_file,host,in_repository,on_new_site,wix_dependency,status
Game Day Checklist,Veterans,new site /documents.html (site-data.js),https://www.rdca.com/_files/ugd/c846e3_110a01d5affe459f9780aaddddde7d78.pdf,https://www.rdca.com/_files/ugd/c846e3_110a01d5affe459f9780aaddddde7d78.pdf,c846e3_110a01d5affe459f9780aaddddde7d78.pdf,pdf,application/pdf,100372,e9780a9691fc89811f9767ea93b6358097f7efe4aa5260019e212654ef148308,200,YES,www.rdca.com,NO,LINKED ONLY (hot-linked to old host),YES,EXTERNAL-DEPENDENCY
MyCricket Results Entry Guide,Veterans,new site /documents.html (site-data.js),https://www.rdca.com/_files/ugd/c846e3_7a6d5730dbc94944bdd8256f31bc8ba2.pdf,https://www.rdca.com/_files/ugd/c846e3_7a6d5730dbc94944bdd8256f31bc8ba2.pdf,c846e3_7a6d5730dbc94944bdd8256f31bc8ba2.pdf,pdf,application/pdf,589617,9c7d7b5c2e5170b051e726d703ffff29b18c52eced98624a3b4744495160c865,200,YES,www.rdca.com,NO,LINKED ONLY (hot-linked to old host),YES,EXTERNAL-DEPENDENCY
Team Nomination Form,Veterans,new site /documents.html (site-data.js),https://www.rdca.com/_files/ugd/bad3dd_ff323a6c498c495692aee01743d6d570.docx?dn=RDCA%20Over%2040s%20Big%20Bash%207%20Team%20Nomination%20form%202026.docx,https://www.rdca.com/_files/ugd/bad3dd_ff323a6c498c495692aee01743d6d570.docx,RDCA Over 40s Big Bash 7 Team Nomination form 2026.docx,doc,application/vnd.openxmlformats-officedocument.wordprocessingml.document,25387,6dc52cfaba4d79688da4ef141cddc52bbaad48f59e3e7fcabad20a6f4086d9dd,200,YES,www.rdca.com,NO,LINKED ONLY (hot-linked to old host),YES,EXTERNAL-DEPENDENCY
Business Continuity Plan,Veterans,new site /documents.html (site-data.js),https://www.rdca.com/_files/ugd/c846e3_bd2f9385d4ef401ea4fddfa35c5c1445.pdf,https://www.rdca.com/_files/ugd/c846e3_bd2f9385d4ef401ea4fddfa35c5c1445.pdf,c846e3_bd2f9385d4ef401ea4fddfa35c5c1445.pdf,pdf,application/pdf,242406,8c1f2c28e5ef1c18f5b702d385dd761b03417fe5c8ab74ba79f21850d8bcd6e7,200,YES,www.rdca.com,NO,LINKED ONLY (hot-linked to old host),YES,EXTERNAL-DEPENDENCY
Club Questionaire,Veterans,new site /documents.html (site-data.js),https://www.rdca.com/_files/ugd/c846e3_3abc462ec3084e199e845ac0766e7b5a.doc?dn=rdca_Insurance_Questionaire.doc,https://www.rdca.com/_files/ugd/c846e3_3abc462ec3084e199e845ac0766e7b5a.doc,rdca_Insurance_Questionaire.doc,doc,application/msword,61952,b853760a41a709640574e04fa764cb466e58a04a290a42224e4570b9d14e5f08,200,YES,www.rdca.com,NO,LINKED ONLY (hot-linked to old host),YES,EXTERNAL-DEPENDENCY
Cricket Ball Order Form 2024/25,Veterans,new site /documents.html (site-data.js),https://www.rdca.com/_files/ugd/5d13eb_3e2a22b3f51f4f8a88d6d6b43e5d1c9a.docx?dn=CRICKET%20BALL%20ORDER%20FORM%202024-25%20.docx,https://www.rdca.com/_files/ugd/5d13eb_3e2a22b3f51f4f8a88d6d6b43e5d1c9a.docx,CRICKET BALL ORDER FORM 2024-25 .docx,doc,application/vnd.openxmlformats-officedocument.wordprocessingml.document,120998,896e27909d1a19058a55b048080ee0171c04706aa9b20f91309129d787b7f948,200,YES,www.rdca.com,NO,LINKED ONLY (hot-linked to old host),YES,EXTERNAL-DEPENDENCY
Ball Ordering Instructions,Veterans,new site /documents.html (site-data.js),https://www.rdca.com/_files/ugd/5d13eb_c7b3d20837664ca0a944321f72b01171.pdf,https://www.rdca.com/_files/ugd/5d13eb_c7b3d20837664ca0a944321f72b01171.pdf,5d13eb_c7b3d20837664ca0a944321f72b01171.pdf,pdf,application/pdf,896785,f04fa7a34b8d27bae29d194c7e98c358bc7ba7e161244a93fc46765f9aca8dc4,200,YES,www.rdca.com,NO,LINKED ONLY (hot-linked to old host),YES,EXTERNAL-DEPENDENCY
RDCA Constitution 2021/22,Veterans,new site /documents.html (site-data.js),https://www.rdca.com/_files/ugd/93eb8a_bd9553ab5f894123813939041e0ab0ff.pdf,https://www.rdca.com/_files/ugd/93eb8a_bd9553ab5f894123813939041e0ab0ff.pdf,93eb8a_bd9553ab5f894123813939041e0ab0ff.pdf,pdf,application/pdf,343301,7e7e142c1f67427573500c3d735045ac630239f46f69c943f54f72e259bc23a7,200,YES,www.rdca.com,NO,LINKED ONLY (hot-linked to old host),YES,EXTERNAL-DEPENDENCY
Women's East Rules 2025/26,Women's,new site /documents.html (site-data.js),https://www.rdca.com/_files/ugd/5d13eb_f761d7028cb34ed6a80ed7c314ab3c4f.pdf,https://www.rdca.com/_files/ugd/5d13eb_f761d7028cb34ed6a80ed7c314ab3c4f.pdf,5d13eb_f761d7028cb34ed6a80ed7c314ab3c4f.pdf,pdf,application/pdf,636450,152f6675fd2bd8b8f8344343acaa9261cbc03cd8c9d007e3fe495808e5c0c655,200,YES,www.rdca.com,NO,LINKED ONLY (hot-linked to old host),YES,EXTERNAL-DEPENDENCY
Discipline & Protests Framework 2025/26,Women's,new site /documents.html (site-data.js),https://www.rdca.com/_files/ugd/5d13eb_b3305ed8bc68421bb3427d9ea786205d.pdf,https://www.rdca.com/_files/ugd/5d13eb_b3305ed8bc68421bb3427d9ea786205d.pdf,5d13eb_b3305ed8bc68421bb3427d9ea786205d.pdf,pdf,application/pdf,264648,97669be7f3e323df222d640293fdfaaff941f4d96d3ab60538fee007d0357a1b,200,YES,www.rdca.com,NO,LINKED ONLY (hot-linked to old host),YES,EXTERNAL-DEPENDENCY
