canonical_key,original_url,source_pages,asset_name,mime,bytes,width,height,sha256,http,alt_text,dhash,nearest_distance,matched_repo_file,match_basis,wix_dependency,status
"https://static.wixstatic.com/media/c4acf1_296dfa3e8b4e4a559841e5fbf2e50cb1~mv2.webp/v1/fill/w_276,h_276,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/Steve%20Oxley.webp","https://static.wixstatic.com/media/c4acf1_296dfa3e8b4e4a559841e5fbf2e50cb1~mv2.webp/v1/fill/w_276,h_276,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/Steve%20Oxley.webp",/senior-committee,Steve Oxley.webp,image/webp,8190,276,276,49caa754261c67fe6efc1b2eacc49804e14ee59944b68f3b82f1e4d26893815f,200,Steve Oxley.webp,f26d6d66b2b3ed18,22,,"unmatched: no SHA-256 match, no filename match, nearest perceptual dHash 22/64",YES,UNMATCHED-PROBABLY-MISSING
"https://static.wixstatic.com/media/c846e3_22ae63e0b6024bdaa0ab70c5fbb17bde~mv2.jpg/v1/fill/w_276,h_276,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/headshot_edited.jpg","https://static.wixstatic.com/media/c846e3_22ae63e0b6024bdaa0ab70c5fbb17bde~mv2.jpg/v1/fill/w_276,h_276,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/headshot_edited.jpg",/senior-committee,headshot_edited.jpg,image/jpeg,4554,276,276,64b443ee1fc39e560491e3058bb7ac65bce61f8b2b0618ca4cff7b134959b169,200,headshot_edited.jpg,b27169f030f080a2,15,,"unmatched: no SHA-256 match, no filename match, nearest perceptual dHash 15/64",YES,UNMATCHED-PROBABLY-MISSING
wix:media/6f26d0a4c07b48b49c11af4c5894db17.png,https://static.wixstatic.com/media/6f26d0a4c07b48b49c11af4c5894db17.png,/seniors-documents; /umpires-documents,Premier Umpires 23_24 Week 3 Mar Grand Final.xlsx,image/png,2692,27,44,eea51bb76a3e111256b92d95773a422b29367566cfb689a09c4e977da55ea8bf,200,Premier Umpires 23_24 Week 3 Mar Grand Final.xlsx; RDCA Hall of Fame Nomination Form (1).xl; RDCA Observer Report-2.xlsx,1c0f555555452b68,24,,"unmatched: no SHA-256 match, no filename match, nearest perceptual dHash 24/64",YES,UNMATCHED-PROBABLY-MISSING
"https://static.wixstatic.com/media/bad3dd_9a9dfaf5ad5f4fd295388a5bd3c02b24~mv2.jpg/v1/fill/w_814,h_543,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/rdca%20GIRLS%20development%20program%20big%20group.jpg","https://static.wixstatic.com/media/bad3dd_9a9dfaf5ad5f4fd295388a5bd3c02b24~mv2.jpg/v1/fill/w_814,h_543,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/rdca%20GIRLS%20development%20program%20big%20group.jpg",/seniors-womens-comp,rdca GIRLS development program big group.jpg,image/jpeg,169463,814,543,2e37e8615c25567b4e0a9207a3b45a0832e80a1b885b104e855b9957208f6d79,200,rdca GIRLS development program big group.jpg,632b4647d72d2e12,27,,"unmatched: no SHA-256 match, no filename match, nearest perceptual dHash 27/64",YES,UNMATCHED-PROBABLY-MISSING
"https://static.wixstatic.com/media/bad3dd_e1e32fe795ca4d76897ce581a8dfcfe7~mv2.jpg/v1/fill/w_979,h_1387,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/SPONSORSHIP%20ADV%202025%20%20.jpg","https://static.wixstatic.com/media/bad3dd_e1e32fe795ca4d76897ce581a8dfcfe7~mv2.jpg/v1/fill/w_979,h_1387,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/SPONSORSHIP%20ADV%202025%20%20.jpg",/sponsorship,SPONSORSHIP ADV 2025  .jpg,image/jpeg,342178,979,1387,8a004a58cf40474b957738d8360d3ea452622b201e6395a115c88aa0d1de36df,200,SPONSORSHIP ADV 2025  .jpg,4486e53939318939,26,,"unmatched: no SHA-256 match, no filename match, nearest perceptual dHash 26/64",YES,UNMATCHED-PROBABLY-MISSING
"https://static.wixstatic.com/media/c846e3_b5469719eebe4fd48cbe902842c98a51~mv2.jpg/v1/fill/w_363,h_315,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/Resized%20Sponsor%20logos5.jpg","https://static.wixstatic.com/media/c846e3_b5469719eebe4fd48cbe902842c98a51~mv2.jpg/v1/fill/w_363,h_315,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/Resized%20Sponsor%20logos5.jpg",/sponsorship,Resized Sponsor logos5.jpg,image/jpeg,12095,363,315,dfd274d2f9b8ca3cab4c430851b50c2b8bc9501aa97141fda8ccb236f40eb5a3,200,Resized Sponsor logos5.jpg,0030309818ba9e00,20,,"unmatched: no SHA-256 match, no filename match, nearest perceptual dHash 20/64",YES,UNMATCHED-PROBABLY-MISSING
"https://static.wixstatic.com/media/c846e3_4ebe3f8d2f934246b2207e2c99ca3fed~mv2.jpg/v1/fill/w_358,h_315,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/Resized%20Sponsor%20logos15.jpg","https://static.wixstatic.com/media/c846e3_4ebe3f8d2f934246b2207e2c99ca3fed~mv2.jpg/v1/fill/w_358,h_315,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/Resized%20Sponsor%20logos15.jpg",/sponsorship,Resized Sponsor logos15.jpg,image/jpeg,25819,358,315,69320c3584115f77f7d4484cd9a87eaec263dba1045fd9204cb9a74a22d81bca,200,Resized Sponsor logos15.jpg,ccc4d4d4d4ccc4c4,16,,"unmatched: no SHA-256 match, no filename match, nearest perceptual dHash 16/64",YES,UNMATCHED-PROBABLY-MISSING
"https://static.wixstatic.com/media/c846e3_ca1ec57e69844e318ac248b06b67b1a4~mv2.jpg/v1/fill/w_362,h_315,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/Resized%20Sponsor%20logos27.jpg","https://static.wixstatic.com/media/c846e3_ca1ec57e69844e318ac248b06b67b1a4~mv2.jpg/v1/fill/w_362,h_315,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/Resized%20Sponsor%20logos27.jpg",/sponsorship,Resized Sponsor logos27.jpg,image/jpeg,19025,362,315,35513f253639a8de4d153815f9d8b878e1142dd8169dcd2076958929b348b8d9,200,Resized Sponsor logos27.jpg,d0ae8793bad2d2c2,23,,"unmatched: no SHA-256 match, no filename match, nearest perceptual dHash 23/64",YES,UNMATCHED-PROBABLY-MISSING
"https://static.wixstatic.com/media/c846e3_5cd9e36249554dc5abfcf84cd995c270~mv2.jpg/v1/fill/w_362,h_315,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/Resized%20Sponsor%20logos18.jpg","https://static.wixstatic.com/media/c846e3_5cd9e36249554dc5abfcf84cd995c270~mv2.jpg/v1/fill/w_362,h_315,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/Resized%20Sponsor%20logos18.jpg",/sponsorship,Resized Sponsor logos18.jpg,image/jpeg,18634,362,315,1a9049eb55f600d6b44cc46d60bab9c3f6150de2100141bcfaeeebf6e93997c2,200,Resized Sponsor logos18.jpg,a288aa8e8eae8ca8,22,,"unmatched: no SHA-256 match, no filename match, nearest perceptual dHash 22/64",YES,UNMATCHED-PROBABLY-MISSING
"https://static.wixstatic.com/media/bad3dd_5142bf9dfdad45248731f5135ecc4789~mv2.png/v1/fill/w_280,h_244,al_c,lg_1,q_85,enc_avif,quality_auto/LEIGH%20BROWN%20LAWYER_tif.png","https://static.wixstatic.com/media/bad3dd_5142bf9dfdad45248731f5135ecc4789~mv2.png/v1/fill/w_280,h_244,al_c,lg_1,q_85,enc_avif,quality_auto/LEIGH%20BROWN%20LAWYER_tif.png",/sponsorship,LEIGH BROWN LAWYER.tif,image/png,20918,280,244,9757a86e2848dfd72d2f3eb8925561c4a52063389d4f618293b315eece61afb5,200,LEIGH BROWN LAWYER.tif,336954d2d3447113,12,rdca-logo.png,perceptual dHash distance 12/64,YES,LIKELY-VISUAL-MATCH
